Date,GS,WG,WR
01/10/2017 00:00,6,0,-9999
01/10/2017 01:00,6,0,-9999
01/10/2017 02:00,6.83333333333333,0,-9999
01/10/2017 03:00,7,0,-9999
01/10/2017 04:00,7,0.0493909413151768,86.3073002134554
01/10/2017 05:00,7,0.0963454282212231,83.3232879321598
01/10/2017 06:00,7,0.347423934802653,71.0265104193555
01/10/2017 07:00,11.5,0.464482041524182,80.9954101451131
01/10/2017 08:00,38.8333333333333,0.216466794521093,89.6928817306964
01/10/2017 09:00,84.6,0.179027962574513,76.3444903692764
01/10/2017 10:00,152.166666666667,0.565698200566411,72.6144182549496
01/10/2017 11:00,99.3333333333333,0.526083360676601,76.6314760064383
01/10/2017 12:00,265.333333333333,0.169395818208688,286.335870338007
01/10/2017 13:00,332,0.135448258103151,70.9215568680997
01/10/2017 14:00,306.166666666667,0.208594739460114,273.253100751855
01/10/2017 15:00,224.166666666667,0.0309061284855596,297
01/10/2017 16:00,146.5,0.0166666666666667,61
01/10/2017 17:00,91.3333333333333,0,-9999
01/10/2017 18:00,17.3333333333333,0,-9999
01/10/2017 19:00,2.16666666666667,0.0166666666666667,80
01/10/2017 20:00,2.83333333333333,0,-9999
01/10/2017 21:00,3.33333333333333,0,-9999
01/10/2017 22:00,4,0,-9999
01/10/2017 23:00,3.33333333333333,0,-9999
02/10/2017 00:00,3,0,-9999
02/10/2017 01:00,3,0.0166666666666667,49
02/10/2017 02:00,2,0,-9999
02/10/2017 03:00,2,0,-9999
02/10/2017 04:00,2.16666666666667,0,-9999
02/10/2017 05:00,2.16666666666667,0,-9999
02/10/2017 06:00,1,0,-9999
02/10/2017 07:00,8,0.0999961923064171,69.5
02/10/2017 08:00,67.1666666666667,0,-9999
02/10/2017 09:00,388.333333333333,0,-9999
02/10/2017 10:00,545.166666666667,0.149901311559907,334.110501487708
02/10/2017 11:00,678.333333333333,0.265562257560618,343.312237660757
02/10/2017 12:00,730.833333333333,0.112801369800526,333.731535845126
02/10/2017 13:00,437.166666666667,0.129999547123143,335.275408457984
02/10/2017 14:00,263.333333333333,0.0666590515694826,2.50003808007738
02/10/2017 15:00,156.166666666667,0.0331507298456091,335
02/10/2017 16:00,72,0.0166666666666667,354
02/10/2017 17:00,38,0,-9999
02/10/2017 18:00,13.8333333333333,0,-9999
02/10/2017 19:00,4.16666666666667,0,-9999
02/10/2017 20:00,4.66666666666667,0,-9999
02/10/2017 21:00,4.83333333333333,0,-9999
02/10/2017 22:00,5,0,-9999
02/10/2017 23:00,5.83333333333333,0,-9999
03/10/2017 00:00,6,0,-9999
03/10/2017 01:00,6.66666666666667,0,-9999
03/10/2017 02:00,7,0,-9999
03/10/2017 03:00,7,0,-9999
03/10/2017 04:00,8,0,-9999
03/10/2017 05:00,8,0,-9999
03/10/2017 06:00,8,0.0675516877766183,293.248557391132
03/10/2017 07:00,11.1666666666667,0.0814599222873263,85.5395698873384
03/10/2017 08:00,25.6666666666667,0.0341263189494946,22.4093886195676
03/10/2017 09:00,36.3333333333333,0.0327751635854652,72.5
03/10/2017 10:00,118,0.0833333333333333,90
03/10/2017 11:00,174.333333333333,0.0653540191363214,87.9716934991602
03/10/2017 12:00,71.3333333333333,0.449888481605907,310.541791498055
03/10/2017 13:00,222,0.407808344889862,75.6684096661881
03/10/2017 14:00,240.166666666667,0.879289447935024,77.5621518366161
03/10/2017 15:00,483,0.465650371558337,70.2127938583056
03/10/2017 16:00,393.833333333333,0.672449763487362,74.4023112110777
03/10/2017 17:00,98,0.64802675519464,65.3317067777153
03/10/2017 18:00,12.8333333333333,0.4131468988956,59.5596024875336
03/10/2017 19:00,0.166666666666667,0.0166666666666667,34
03/10/2017 20:00,0,0.480103272185351,61.6268291665899
03/10/2017 21:00,0,0.813919995509935,68.9374627035735
03/10/2017 22:00,0,0.115740651072855,62.4468629177854
03/10/2017 23:00,0,0.0665753023169716,64
04/10/2017 00:00,0,0.0833333333333333,52
04/10/2017 01:00,0,0.499453541769654,59.2338822265456
04/10/2017 02:00,0,0.623784450604237,66.2145242863662
04/10/2017 03:00,0,0.715136481414731,69.6753459274271
04/10/2017 04:00,0,0.444654403875124,70.1305914269606
04/10/2017 05:00,0,0.466314311033696,64.570752449724
04/10/2017 06:00,0,0.224209878653947,80.7426554917656
04/10/2017 07:00,12,0,-9999
04/10/2017 08:00,93.8333333333333,0,-9999
04/10/2017 09:00,427.666666666667,0.033332064102139,353.5
04/10/2017 10:00,536.833333333333,0.083173018697494,339.402156797798
04/10/2017 11:00,487.833333333333,0.1,334
04/10/2017 12:00,597.5,0.383172666979909,330.173871417786
04/10/2017 13:00,601,0.349425784344789,332.286155909035
04/10/2017 14:00,501.666666666667,0.0103005664791649,79
04/10/2017 15:00,331.5,0.116916221461,348.573876248534
04/10/2017 16:00,241.666666666667,0.0413011654174441,24.7996598070311
04/10/2017 17:00,89,0.0193567651903647,19.5
04/10/2017 18:00,23.8333333333333,0,-9999
04/10/2017 19:00,1,0,-9999
04/10/2017 20:00,1,0,-9999
04/10/2017 21:00,1.16666666666667,0.0322715880126036,66.5
04/10/2017 22:00,2,0.299597864025362,58.165611875411
04/10/2017 23:00,1.33333333333333,0,-9999
05/10/2017 00:00,2.16666666666667,0,-9999
05/10/2017 01:00,2,0,-9999
05/10/2017 02:00,2.16666666666667,0.0833333333333333,57
05/10/2017 03:00,3,0.0998964206849792,54.1650534606605
05/10/2017 04:00,3,0,-9999
05/10/2017 05:00,3,0,-9999
05/10/2017 06:00,3,0,-9999
05/10/2017 07:00,10.5,0,-9999
05/10/2017 08:00,87.5,0,-9999
05/10/2017 09:00,402.833333333333,0.264563930576507,330.389991611396
05/10/2017 10:00,580.833333333333,0.332145958366045,327.698636694766
05/10/2017 11:00,630.166666666667,0.0588208861058523,333.837805347634
05/10/2017 12:00,666.833333333333,0.0409893958518257,316.191013117228
05/10/2017 13:00,667.166666666667,0.712568738108172,324.132491024508
05/10/2017 14:00,605.166666666667,0.348512838518913,299.396012953952
05/10/2017 15:00,506.166666666667,0.42195019517378,308.412707007227
05/10/2017 16:00,400.5,0.241794386997118,68.6929400405059
05/10/2017 17:00,71.6666666666667,0.586648070014969,52.4948957236275
05/10/2017 18:00,22,0.432473381377922,69.5599383302988
05/10/2017 19:00,4.83333333333333,0.225013876239095,40.4063459669484
05/10/2017 20:00,5.16666666666667,0.451125887652486,330.098729461413
05/10/2017 21:00,5.66666666666667,0.173420579766794,61.0062891962975
05/10/2017 22:00,6,0.404762449836466,70.4288865845262
05/10/2017 23:00,6,0.343466477442058,283.481299092296
06/10/2017 00:00,5,0.263224060551793,299.042048397925
06/10/2017 01:00,5.16666666666667,0.261128966346281,281.296094892095
